#ALMAQUEST spaxel data for green valley galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#log10(Sigma_H2) log10(Sigma_SM) log10(Sigma_SFR)
49959994.0 -6.299893995628651 0.22611372740000765
88969994.0 -6.2999419956449 0.22611372739670765
41239994.0 -6.300141895653638 0.22611372737050767
43099994.0 -6.299954995627473 0.22611372740060767
68509994.0 -6.299959995665546 0.22611372738470767
70169994.0 -6.299924995631869 0.22611372737440766
99769994.0 -6.299570995613891 0.22611372739220767
78789994.0 -6.299883995668921 0.22611372723230766
88969994.0 -6.299802995634224 0.22611372721270767
87919994.0 -6.299443995694588 0.22611372729710766
81809994.0 -6.298832995698746 0.22611372758060766
81809994.0 -6.29861699568383 0.22611372800630763
60069994.0 -6.298592995733912 0.22611372796130763
84239994.0 -6.299537995711859 0.22611372756400766
42969994.0 -6.3001319956364625 0.22611372726370765
69379994.0 -6.300232895648065 0.22611372720400766
100599994.0 -6.300115995689254 0.22611372721210765
102899994.0 -6.299726995637599 0.22611372728260767
107699994.0 -6.299273995680693 0.22611372737450766
115799994.0 -6.299037995629902 0.22611372740690766
54019994.0 -6.299305995691526 0.22611372729880766
56509994.0 -6.298962995757307 0.22611372728430768
63019994.0 -6.298933995769318 0.22611372725520767
81359994.0 -6.299172995610121 0.22611372724270767
93139994.0 -6.298770995692308 0.22611372737230767
71579994.0 -6.29873999568909 0.22611372749190767
84909994.0 -6.298618995699059 0.2261137275532077
52209994.0 -6.298262995549436 0.22611372759010767
49339994.0 -6.297733995712321 0.22611372771310767
59629994.0 -6.2991779956481935 0.22611372747830766
59609994.0 -6.298901995758484 0.2261137276571077
25039994.0 -6.3005698956530125 0.22611372715730765
84419994.0 -6.299764995694119 0.22611372748080766
95099994.0 -6.2995739956367345 0.22611372741250765
103799994.0 -6.299106995689641 0.22611372744670766
110499994.0 -6.299961995680775 0.22611372722210765
119699994.0 -6.299977995686191 0.22611372719640765
55289994.0 -6.299751995711546 0.22611372721340767
57579994.0 -6.2990579955493615 0.22611372730430768
62769994.0 -6.298746995742391 0.22611372735110766
139699994.0 -6.299069995640735 0.22611372730210766
147599994.0 -6.299055995766963 0.22611372727290766
147499994.0 -6.298898995735641 0.22611372724590767
147499994.0 -6.298761995623778 0.22611372723370765
127299994.0 -6.2979219957468615 0.22611372732720766
91359994.0 -6.298067995694424 0.22611372736920765
98289994.0 -6.297793995703529 0.22611372748670766
81529994.0 -6.298268995595123 0.22611372745370767
110399994.0 -6.297556995761539 0.2261137275732077
98769994.0 -6.296991995650302 0.22611372770610766
80219994.0 -6.298926995716016 0.22611372743140767
80199994.0 -6.29890999558657 0.22611372750020764
80179994.0 -6.298902995766099 0.22611372751580766
21639994.0 -6.300665895656408 0.22611372712940767
25769994.0 -6.300452095687348 0.22611372715760766
88809994.0 -6.299926995647098 0.22611372738810767
76769994.0 -6.298828995668288 0.22611372752210768
112399994.0 -6.2988439955496744 0.22611372744870767
145199994.0 -6.299018995718058 0.22611372738830765
160899994.0 -6.2990659956102775 0.22611372735430765
93919994.0 -6.298775995730381 0.22611372735780766
98839994.0 -6.298475995774339 0.22611372734890767
88529994.0 -6.297690995617728 0.22611372741440766
93359994.0 -6.297884995697956 0.22611372739230767
138899994.0 -6.297192995551001 0.22611372749040765
142699994.0 -6.2977019957014875 0.22611372740130767
145799994.0 -6.298061995648737 0.22611372730900767
145799994.0 -6.297731995697092 0.22611372730490767
200299994.0 -6.296498995854478 0.22611372741750765
147999994.0 -6.296633995718281 0.22611372746160766
93829994.0 -6.296463995820801 0.2261137275748077
111699994.0 -6.296721995457034 0.22611372762650767
103999994.0 -6.295568995757918 0.22611372787150769
104799994.0 -6.295781995749991 0.2261137279406077
80659994.0 -6.298387995569925 0.22611372755960768
80209994.0 -6.2988919956823395 0.22611372752020764
80199994.0 -6.298888995659496 0.22611372754740766
23489994.0 -6.300610595671884 0.22611372714130767
27479994.0 -6.300460295691579 0.22611372716060768
103599994.0 -6.299066995617892 0.22611372748450764
51159994.0 -6.297694995648186 0.22611372763700766
89469994.0 -6.298829995675902 0.22611372740060767
95979994.0 -6.2991269956091 0.22611372735170768
178299994.0 -6.298599995554383 0.22611372742600766
198399994.0 -6.298650995709892 0.22611372735460766
248499994.0 -6.297547995693009 0.22611372742300767
269299994.0 -6.296305995549034 0.22611372751110764
156099994.0 -6.296642995553981 0.22611372748150765
156099994.0 -6.296187995581846 0.22611372756300768
156999994.0 -6.296260995439212 0.2261137275366077
240099994.0 -6.297234995637979 0.22611372736980767
239499994.0 -6.295627995508681 0.22611372745480765
235399994.0 -6.295224995466839 0.22611372747780767
229499994.0 -6.294547995666932 0.22611372759700765
222399994.0 -6.293984995803754 0.2261137277976077
105499994.0 -6.2941179956523285 0.22611372797810764
92909994.0 -6.293166995628695 0.22611372833830762
100099994.0 -6.294035995493601 0.2261137284003077
86799994.0 -6.29782999574482 0.22611372776120764
80729994.0 -6.29886299569435 0.22611372760670767
80989994.0 -6.298916995639871 0.22611372767330767
80989994.0 -6.298944995620246 0.22611372773660765
48189994.0 -6.299087995661381 0.22611372761910764
55409994.0 -6.298866995724808 0.22611372745140768
115299994.0 -6.299025995771359 0.22611372735540766
124999994.0 -6.298738995681475 0.22611372739690766
176299994.0 -6.2982699956027375 0.2261137274875077
204199994.0 -6.298770995692308 0.22611372737650767
244399994.0 -6.297582995726685 0.22611372746680766
268199994.0 -6.296799995585303 0.22611372746080766
310999994.0 -6.296006995833437 0.22611372749080766
321799994.0 -6.294602995852898 0.22611372764570764
186999994.0 -6.293377995605539 0.22611372783760764
186999994.0 -6.2913769955029295 0.22611372803130764
184799994.0 -6.289589996098499 0.22611372802730761
236999994.0 -6.2900399953340695 0.2261137278333077
312499994.0 -6.291705995446961 0.22611372767690768
294499994.0 -6.2921669954647825 0.2261137277187077
232099994.0 -6.292402995399158 0.22611372788660766
158299994.0 -6.292128995641093 0.22611372821630765
138299994.0 -6.2925109952902005 0.22611372847630767
106999994.0 -6.2933279956904755 0.22611372856830764
95119994.0 -6.296372995826374 0.22611372810130764
111199994.0 -6.297741995773237 0.2261137279566076
81519994.0 -6.298961995749693 0.2261137278101077
138299994.0 -6.298784995566081 0.22611372757920767
161599994.0 -6.298702995640184 0.22611372745250766
148599994.0 -6.298295995567884 0.22611372746600766
165799994.0 -6.298270995610352 0.22611372745030767
367599994.0 -6.297311995758633 0.2261137275857077
423699994.0 -6.296707995816092 0.22611372761160764
233399994.0 -6.296145995727699 0.22611372756530768
250699994.0 -6.29617099568523 0.22611372746390768
436299994.0 -6.2948329957415865 0.22611372754110765
455899994.0 -6.292929995453875 0.22611372774080768
464599994.0 -6.292016995719592 0.22611372791350764
464599994.0 -6.289329995981376 0.2261137281643077
457099994.0 -6.283809995858888 0.22611372842230765
402499994.0 -6.283669995724182 0.2261137281893077
275699994.0 -6.286039995609741 0.2261137279726077
253499994.0 -6.288919996119063 0.22611372788160766
257399994.0 -6.289309995829086 0.22611372810230762
238199994.0 -6.291438995509367 0.2261137282293077
149499994.0 -6.291800995937507 0.2261137284903077
119399994.0 -6.2942069956315265 0.2261137282433076
106599994.0 -6.296013995653908 0.22611372803530766
115999994.0 -6.297509995636489 0.22611372793620765
111199994.0 -6.2984959956937985 0.22611372804630764
125399994.0 -6.29890999558657 0.22611372766890764
154199994.0 -6.298687995758797 0.22611372752970765
179799994.0 -6.299432995610829 0.22611372731020765
211199994.0 -6.297234995637979 0.22611372763830767
253999994.0 -6.296263995694886 0.2261137277112077
492799994.0 -6.296625995657365 0.22611372758560766
299399994.0 -6.296011995638679 0.22611372757700765
335299994.0 -6.296345995853613 0.22611372745200767
357199994.0 -6.295331995583098 0.22611372746780767
369999994.0 -6.293535995877306 0.22611372757310766
502299994.0 -6.291328996068756 0.22611372777770766
502299994.0 -6.290579995720606 0.22611372792570766
479199994.0 -6.2876899956008 0.22611372817630765
433299994.0 -6.284289995788555 0.22611372826230763
